vacancy_id,date_posted,profession,experience_level,region,work_format,company_size,key_skills,salary_from_rub,salary_to_rub,currency
104531,2024-01-04,Backend Developer,Middle,Удалённо (Россия),Удалённо,Средняя (250-1000),"Git, Kubernetes, Python, REST API, SQL",96000,122000,RUB
101930,2024-01-04,Full-stack Developer,Middle,Санкт-Петербург,Офис,Стартап (<50),"Docker, Git, JavaScript, Node.js, React, SQL",71000,87000,RUB
101034,2024-01-04,Data Analyst,Junior,Санкт-Петербург,Офис,Стартап (<50),"Git, SQL, Tableau",45000,53000,RUB
102679,2024-01-04,DevOps Engineer,Middle,Москва,Удалённо,Стартап (<50),"AWS, Git, Kubernetes",108000,146000,RUB
104211,2024-01-04,Backend Developer,Middle,Казань,Офис,Стартап (<50),"Java, Kubernetes, Python",49000,62000,RUB
105763,2024-01-05,DevOps Engineer,Junior,Москва,Офис,Стартап (<50),"CI/CD, Git, Linux, Terraform",59000,70000,RUB
100029,2024-01-05,ML Engineer,Middle,Удалённо (Россия),Гибрид,Крупная (1000+),"Docker, Git, Kubernetes, PyTorch, Python, TensorFlow",104000,128000,RUB
104039,2024-01-05,Data Engineer,Middle,Екатеринбург,Удалённо,Стартап (<50),"Airflow, Git, Python",57000,66000,RUB
100099,2024-01-05,Data Scientist,Senior,Краснодар,Гибрид,Малая (50-250),"Docker, Git, Python, Scikit-learn, Statistics",104000,123000,RUB
100049,2024-01-05,ML Engineer,Junior,Казань,Удалённо,Малая (50-250),"Docker, Git, Kubernetes, MLflow, PyTorch, TensorFlow",32000,39000,RUB
100912,2024-01-05,Data Engineer,Senior,Санкт-Петербург,Удалённо,Малая (50-250),"ClickHouse, Git, Kafka, SQL, Spark",164000,196000,RUB
102765,2024-01-05,Mobile Developer,Middle,Удалённо (Россия),Удалённо,Малая (50-250),"Git, Kotlin, REST API, SQL, Swift",88000,108000,RUB
100421,2024-01-05,Data Engineer,Middle,Москва,Удалённо,Малая (50-250),"Docker, Git, Kafka, Python",124000,150000,RUB
104545,2024-01-05,Backend Developer,Lead,Удалённо (Россия),Удалённо,Малая (50-250),"Docker, Git, Kubernetes, PostgreSQL, Python, REST API",184000,245000,RUB
100599,2024-01-05,Data Scientist,Middle,Москва,Офис,Стартап (<50),"Docker, Git, PyTorch, Python, SQL, Scikit-learn, Statistics",70000,93000,RUB
102908,2024-01-06,Data Engineer,Middle,Удалённо (Россия),Гибрид,Крупная (1000+),"ClickHouse, Docker, Git, Python, SQL, Spark",113000,151000,RUB
105584,2024-01-06,Backend Developer,Middle,Удалённо (Россия),Гибрид,Крупная (1000+),"Git, Java, Kubernetes, Python, REST API, SQL",100000,115000,RUB
101215,2024-01-06,Product Manager,Junior,Москва,Удалённо,Малая (50-250),"Confluence, Jira, SQL",46000,55000,RUB
101418,2024-01-06,DevOps Engineer,Junior,Удалённо (Россия),Удалённо,Стартап (<50),"AWS, CI/CD, Docker, Git, Linux, Terraform",56000,70000,RUB
101892,2024-01-06,System Analyst,Middle,Екатеринбург,Офис,Крупная (1000+),"BPMN, Confluence, Git, Jira, SQL",65000,87000,RUB
102647,2024-01-06,Full-stack Developer,Lead,Удалённо (Россия),Гибрид,Малая (50-250),"Docker, Git, Node.js, React, SQL",176000,225000,RUB
105109,2024-01-07,Full-stack Developer,Senior,Москва,Гибрид,Малая (50-250),"Git, JavaScript, Node.js, React, SQL",132000,175000,RUB
101383,2024-01-07,Backend Developer,Middle,Казань,Гибрид,Малая (50-250),"Git, Java, PostgreSQL, Python",41000,51000,RUB
102278,2024-01-07,Product Manager,Junior,Краснодар,Удалённо,Крупная (1000+),"Agile, Analytics, Git, Jira",36000,45000,RUB
104887,2024-01-07,Data Scientist,Middle,Москва,Офис,Средняя (250-1000),"Docker, Git, PyTorch, Python, SQL, Scikit-learn, Statistics",119000,142000,RUB
103514,2024-01-07,Backend Developer,Senior,Санкт-Петербург,Офис,Стартап (<50),"Docker, Git, Java, Kubernetes",140000,184000,RUB
105358,2024-01-08,Data Analyst,Senior,Санкт-Петербург,Гибрид,Малая (50-250),"Git, Python, Tableau",106000,134000,RUB
102613,2024-01-08,Frontend Developer,Senior,Санкт-Петербург,Удалённо,Малая (50-250),"CSS, Git, HTML, JavaScript",98000,128000,RUB
105611,2024-01-08,Mobile Developer,Junior,Москва,Удалённо,Малая (50-250),"Git, Kotlin, REST API, Swift",47000,58000,RUB
102879,2024-01-08,DevOps Engineer,Middle,Санкт-Петербург,Удалённо,Крупная (1000+),"CI/CD, Git, Kubernetes, Linux",107000,140000,RUB
103180,2024-01-08,Product Manager,Middle,Удалённо (Россия),Удалённо,Малая (50-250),"Analytics, Confluence, Git, SQL",110000,133000,RUB
105670,2024-01-08,Backend Developer,Middle,Удалённо (Россия),Удалённо,Крупная (1000+),"Git, Java, Kubernetes, PostgreSQL, REST API",100000,120000,RUB
103521,2024-01-08,Data Analyst,Middle,Москва,Офис,Стартап (<50),"Excel, Git, Power BI, Python, SQL, Tableau",76000,98000,RUB
105698,2024-01-08,Data Analyst,Middle,Удалённо (Россия),Офис,Малая (50-250),"Excel, Git, Python",70000,90000,RUB
105019,2024-01-08,Mobile Developer,Junior,Санкт-Петербург,Офис,Средняя (250-1000),"Git, Kotlin, REST API, SQL",47000,54000,RUB
101064,2024-01-08,Full-stack Developer,Lead,Екатеринбург,Гибрид,Стартап (<50),"Git, JavaScript, Node.js, React, SQL",133000,177000,RUB
101784,2024-01-09,System Analyst,Middle,Нижний Новгород,Офис,Малая (50-250),"Confluence, Git, Jira, SQL, UML",41000,52000,RUB
105676,2024-01-09,Data Analyst,Senior,Москва,Офис,Крупная (1000+),"Excel, Git, Python, SQL",173000,213000,RUB
101415,2024-01-09,Backend Developer,Senior,Удалённо (Россия),Офис,Стартап (<50),"Docker, Git, Java, REST API, SQL",135000,163000,RUB
101408,2024-01-09,Full-stack Developer,Middle,Москва,Гибрид,Малая (50-250),"Docker, Git, JavaScript, React, SQL",85000,108000,RUB
105158,2024-01-09,Mobile Developer,Middle,Москва,Офис,Крупная (1000+),"Git, Kotlin, SQL, Swift",102000,125000,RUB
105332,2024-01-09,Full-stack Developer,Middle,Москва,Офис,Малая (50-250),"Docker, Git, JavaScript, SQL",100000,117000,RUB
100637,2024-01-09,System Analyst,Junior,Удалённо (Россия),Удалённо,Малая (50-250),"BPMN, Confluence, Git, Jira",42000,55000,RUB
103911,2024-01-09,Product Manager,Middle,Москва,Удалённо,Средняя (250-1000),"Agile, Analytics, Confluence, Git, Jira, SQL",154000,204000,RUB
102216,2024-01-10,Full-stack Developer,Junior,Казань,Офис,Малая (50-250),"Docker, Git, Node.js, React, SQL",30000,40000,RUB
102137,2024-01-10,Frontend Developer,Junior,Краснодар,Офис,Стартап (<50),"CSS, Git, JavaScript, React, TypeScript",30000,35000,RUB
102098,2024-01-10,Product Manager,Lead,Удалённо (Россия),Удалённо,Стартап (<50),"Agile, Analytics, Confluence, Git, Jira, SQL",198000,245000,RUB
105436,2024-01-10,DevOps Engineer,Senior,Краснодар,Офис,Стартап (<50),"AWS, CI/CD, Docker, Git, Kubernetes, Terraform",97000,123000,RUB
101853,2024-01-10,Backend Developer,Middle,Москва,Удалённо,Средняя (250-1000),"Docker, Git, Kubernetes, Python, SQL",96000,110000,RUB
105307,2024-01-10,DevOps Engineer,Junior,Нижний Новгород,Удалённо,Стартап (<50),"AWS, CI/CD, Git, Linux, Terraform",38000,50000,RUB
103173,2024-01-11,QA Engineer,Middle,Санкт-Петербург,Гибрид,Крупная (1000+),"Git, Manual Testing, Postman, Python, SQL",56000,74000,RUB
105900,2024-01-11,DevOps Engineer,Junior,Екатеринбург,Гибрид,Стартап (<50),"CI/CD, Docker, Git, Linux, Terraform",34000,42000,RUB
104534,2024-01-11,Backend Developer,Junior,Москва,Гибрид,Средняя (250-1000),"Docker, Git, Kubernetes, PostgreSQL, REST API, SQL",53000,67000,RUB
101125,2024-01-11,Backend Developer,Middle,Санкт-Петербург,Гибрид,Стартап (<50),"Docker, Git, Kubernetes, REST API, SQL",68000,89000,RUB
104402,2024-01-11,Data Scientist,Middle,Казань,Удалённо,Крупная (1000+),"Docker, Git, PyTorch, SQL, Scikit-learn, Statistics",78000,101000,RUB
103105,2024-01-11,Product Manager,Junior,Удалённо (Россия),Гибрид,Средняя (250-1000),"Agile, Analytics, Confluence, Git, Jira, SQL",49000,64000,RUB
101345,2024-01-11,Mobile Developer,Senior,Новосибирск,Офис,Малая (50-250),"Git, Kotlin, REST API, SQL, Swift",94000,124000,RUB
105829,2024-01-12,Frontend Developer,Junior,Москва,Офис,Крупная (1000+),"CSS, Git, HTML, JavaScript, React, TypeScript",55000,66000,RUB
105789,2024-01-12,Backend Developer,Senior,Новосибирск,Офис,Малая (50-250),"Docker, Git, Kubernetes, Python, REST API",100000,124000,RUB
102497,2024-01-12,QA Engineer,Junior,Москва,Удалённо,Стартап (<50),"Git, Manual Testing, Postman, Python, SQL, Selenium",38000,51000,RUB
105867,2024-01-13,Data Scientist,Junior,Новосибирск,Офис,Крупная (1000+),"Git, Pandas, Scikit-learn, Statistics",49000,63000,RUB
105547,2024-01-13,Full-stack Developer,Middle,Казань,Офис,Крупная (1000+),"Docker, Git, JavaScript, React, SQL",70000,81000,RUB
104078,2024-01-13,Data Scientist,Senior,Новосибирск,Удалённо,Средняя (250-1000),"Docker, Git, Pandas, PyTorch, SQL, Scikit-learn",114000,136000,RUB
102658,2024-01-13,QA Engineer,Senior,Москва,Гибрид,Малая (50-250),"Git, Manual Testing, Python, SQL, Selenium",88000,112000,RUB
101509,2024-01-13,Data Scientist,Middle,Москва,Гибрид,Средняя (250-1000),"Git, Pandas, PyTorch, SQL, Scikit-learn, Statistics",88000,113000,RUB
103477,2024-01-13,Backend Developer,Senior,Удалённо (Россия),Гибрид,Малая (50-250),"Git, Java, Kubernetes, SQL",111000,145000,RUB
104945,2024-01-14,Mobile Developer,Junior,Удалённо (Россия),Гибрид,Стартап (<50),"Git, Kotlin, REST API, Swift",42000,55000,RUB
102625,2024-01-14,ML Engineer,Senior,Удалённо (Россия),Гибрид,Средняя (250-1000),"Git, Kubernetes, MLflow, Python, TensorFlow",212000,255000,RUB
103126,2024-01-14,System Analyst,Junior,Казань,Гибрид,Малая (50-250),"BPMN, Git, SQL, UML",30000,40000,RUB
102848,2024-01-14,Mobile Developer,Senior,Удалённо (Россия),Удалённо,Средняя (250-1000),"Git, Kotlin, REST API, SQL, Swift",182000,241000,RUB
100500,2024-01-14,Data Analyst,Senior,Москва,Офис,Стартап (<50),"Excel, Git, SQL, Tableau",143000,184000,RUB
104906,2024-01-14,DevOps Engineer,Middle,Екатеринбург,Офис,Малая (50-250),"Git, Linux, Terraform",71000,85000,RUB
102377,2024-01-15,Data Analyst,Middle,Санкт-Петербург,Гибрид,Средняя (250-1000),"Excel, Git, Power BI, SQL, Tableau",63000,74000,RUB
100516,2024-01-15,DevOps Engineer,Lead,Москва,Гибрид,Стартап (<50),"Docker, Git, Kubernetes, Linux, Terraform",188000,229000,RUB
104980,2024-01-15,ML Engineer,Senior,Санкт-Петербург,Гибрид,Средняя (250-1000),"Docker, Git, Kubernetes, MLflow",168000,195000,RUB
102767,2024-01-15,DevOps Engineer,Middle,Москва,Гибрид,Средняя (250-1000),"CI/CD, Git, Linux, Terraform",110000,141000,RUB
102730,2024-01-15,Data Analyst,Senior,Краснодар,Офис,Крупная (1000+),"Excel, Git, Power BI, Python, SQL, Tableau",72000,88000,RUB
104159,2024-01-15,Frontend Developer,Senior,Санкт-Петербург,Гибрид,Малая (50-250),"CSS, Git, HTML, JavaScript, React",118000,142000,RUB
102173,2024-01-15,Data Analyst,Junior,Москва,Офис,Стартап (<50),"Excel, Git, Power BI, Tableau",40000,50000,RUB
105825,2024-01-16,ML Engineer,Junior,Екатеринбург,Офис,Малая (50-250),"Docker, Git, Kubernetes, MLflow, Python, TensorFlow",31000,42000,RUB
104275,2024-01-16,Data Analyst,Senior,Удалённо (Россия),Офис,Средняя (250-1000),"Excel, Git, Python, SQL",123000,161000,RUB
105196,2024-01-16,Data Scientist,Middle,Санкт-Петербург,Гибрид,Стартап (<50),"Git, Pandas, PyTorch, Statistics",83000,112000,RUB
105703,2024-01-16,DevOps Engineer,Senior,Санкт-Петербург,Офис,Средняя (250-1000),"AWS, Docker, Git, Kubernetes, Linux",163000,189000,RUB
103629,2024-01-16,Data Scientist,Middle,Москва,Офис,Стартап (<50),"PyTorch, Python, SQL",104000,123000,RUB
101837,2024-01-16,Data Engineer,Senior,Москва,Удалённо,Средняя (250-1000),"Airflow, Git, SQL",214000,252000,RUB
105640,2024-01-16,Mobile Developer,Middle,Удалённо (Россия),Удалённо,Средняя (250-1000),"Git, REST API, SQL, Swift",80000,97000,RUB
100574,2024-01-17,Product Manager,Middle,Удалённо (Россия),Гибрид,Крупная (1000+),"Agile, Analytics, Confluence, Git, Jira, SQL",87000,107000,RUB
101289,2024-01-17,Data Scientist,Middle,Москва,Гибрид,Стартап (<50),"Docker, Pandas, PyTorch, Python, SQL, Scikit-learn",97000,121000,RUB
101656,2024-01-17,Data Analyst,Junior,Санкт-Петербург,Гибрид,Стартап (<50),"Excel, Git, Power BI, Python, SQL, Tableau",33000,41000,RUB
104654,2024-01-17,Backend Developer,Middle,Москва,Офис,Малая (50-250),"Git, Kubernetes, PostgreSQL, Python, REST API, SQL",99000,120000,RUB
102791,2024-01-17,QA Engineer,Junior,Санкт-Петербург,Гибрид,Средняя (250-1000),"Git, Manual Testing, SQL, Selenium",35000,44000,RUB
101185,2024-01-17,Data Analyst,Junior,Удалённо (Россия),Офис,Малая (50-250),"Excel, Git, Power BI, Python, SQL, Tableau",30000,40000,RUB
103777,2024-01-17,Frontend Developer,Senior,Санкт-Петербург,Гибрид,Крупная (1000+),"CSS, Git, HTML, JavaScript, TypeScript",127000,158000,RUB
103273,2024-01-17,Data Engineer,Middle,Краснодар,Удалённо,Стартап (<50),"Airflow, ClickHouse, Git, Python",53000,67000,RUB
102986,2024-01-18,Full-stack Developer,Junior,Москва,Удалённо,Крупная (1000+),"Docker, Git, JavaScript, Node.js, React, SQL",51000,60000,RUB
102620,2024-01-18,System Analyst,Middle,Москва,Удалённо,Крупная (1000+),"BPMN, Git, Jira, SQL, UML",110000,135000,RUB
100787,2024-01-18,Data Analyst,Middle,Екатеринбург,Офис,Средняя (250-1000),"Excel, Git, Python, Tableau",48000,58000,RUB
100668,2024-01-18,Data Analyst,Junior,Москва,Гибрид,Средняя (250-1000),"Excel, Git, Power BI, SQL, Tableau",42000,54000,RUB
101652,2024-01-18,Data Engineer,Middle,Москва,Гибрид,Малая (50-250),"Airflow, ClickHouse, Docker, Git",92000,107000,RUB
102974,2024-01-19,DevOps Engineer,Junior,Санкт-Петербург,Офис,Стартап (<50),"CI/CD, Git, Kubernetes, Terraform",50000,66000,RUB
104169,2024-01-19,DevOps Engineer,Middle,Краснодар,Офис,Средняя (250-1000),"AWS, Docker, Git, Kubernetes, Linux, Terraform",56000,75000,RUB
102561,2024-01-19,Frontend Developer,Middle,Удалённо (Россия),Гибрид,Средняя (250-1000),"CSS, Git, HTML, React, TypeScript",59000,73000,RUB
103346,2024-01-19,DevOps Engineer,Middle,Москва,Удалённо,Средняя (250-1000),"AWS, CI/CD, Git, Kubernetes, Linux, Terraform",116000,153000,RUB
104690,2024-01-19,Product Manager,Middle,Удалённо (Россия),Офис,Средняя (250-1000),"Agile, Analytics, Confluence, Git, Jira, SQL",93000,118000,RUB
101244,2024-01-19,ML Engineer,Senior,Новосибирск,Удалённо,Малая (50-250),"Docker, Git, Kubernetes, PyTorch, Python",127000,161000,RUB
104966,2024-01-19,Full-stack Developer,Middle,Новосибирск,Удалённо,Малая (50-250),"Docker, Git, JavaScript, SQL",67000,88000,RUB
100751,2024-01-19,Full-stack Developer,Junior,Москва,Удалённо,Стартап (<50),"Docker, Git, JavaScript, React, SQL",55000,71000,RUB
105175,2024-01-20,Backend Developer,Middle,Санкт-Петербург,Гибрид,Малая (50-250),"Docker, Git, Java, PostgreSQL, Python, REST API, SQL",86000,109000,RUB
101374,2024-01-20,Backend Developer,Junior,Москва,Офис,Малая (50-250),"Docker, Git, Java, Kubernetes, PostgreSQL, Python, SQL",53000,68000,RUB
102632,2024-01-20,Data Analyst,Senior,Удалённо (Россия),Гибрид,Малая (50-250),"Excel, Git, Power BI, Python, SQL",114000,148000,RUB
102230,2024-01-21,Mobile Developer,Middle,Санкт-Петербург,Удалённо,Малая (50-250),"Git, REST API, SQL, Swift",62000,83000,RUB
101513,2024-01-21,QA Engineer,Junior,Санкт-Петербург,Офис,Крупная (1000+),"Git, Manual Testing, Postman, Python, SQL, Selenium",35000,45000,RUB
104672,2024-01-21,Full-stack Developer,Senior,Нижний Новгород,Гибрид,Средняя (250-1000),"Docker, Git, JavaScript",86000,99000,RUB
104716,2024-01-21,Data Analyst,Junior,Удалённо (Россия),Гибрид,Средняя (250-1000),"Git, Power BI, Python, SQL",42000,51000,RUB
105777,2024-01-21,Data Scientist,Middle,Москва,Офис,Стартап (<50),"Docker, Git, Pandas, SQL, Scikit-learn",99000,128000,RUB
105351,2024-01-21,Frontend Developer,Senior,Новосибирск,Удалённо,Крупная (1000+),"Git, HTML, JavaScript, React, TypeScript",122000,141000,RUB
104033,2024-01-21,Data Analyst,Senior,Москва,Гибрид,Стартап (<50),"Excel, Git, Power BI, Python, SQL",130000,164000,RUB
104488,2024-01-21,Data Engineer,Middle,Удалённо (Россия),Офис,Малая (50-250),"Airflow, Docker, Git, Spark",76000,90000,RUB
105172,2024-01-22,Full-stack Developer,Senior,Удалённо (Россия),Удалённо,Средняя (250-1000),"Docker, Git, JavaScript, Node.js, React, SQL",133000,166000,RUB
104113,2024-01-22,Backend Developer,Lead,Санкт-Петербург,Удалённо,Малая (50-250),"Docker, Git, Java, PostgreSQL, Python, REST API",181000,227000,RUB
100549,2024-01-22,DevOps Engineer,Middle,Удалённо (Россия),Удалённо,Крупная (1000+),"CI/CD, Docker, Git, Kubernetes",114000,145000,RUB
102340,2024-01-22,System Analyst,Junior,Казань,Удалённо,Крупная (1000+),"Confluence, Git, Jira, SQL",35000,45000,RUB
102495,2024-01-22,Product Manager,Senior,Краснодар,Удалённо,Малая (50-250),"Analytics, Git, Jira, SQL",94000,124000,RUB
105426,2024-01-23,Backend Developer,Lead,Санкт-Петербург,Удалённо,Крупная (1000+),"Git, Java, REST API, SQL",200000,252000,RUB
101217,2024-01-23,ML Engineer,Middle,Удалённо (Россия),Удалённо,Стартап (<50),"Docker, Git, Kubernetes, MLflow, Python, TensorFlow",88000,116000,RUB
103115,2024-01-23,Backend Developer,Senior,Екатеринбург,Гибрид,Стартап (<50),"Docker, Git, Kubernetes, SQL",66000,76000,RUB
103244,2024-01-23,Data Analyst,Senior,Казань,Гибрид,Стартап (<50),"Excel, Git, Power BI, Python, SQL, Tableau",71000,89000,RUB
104794,2024-01-23,Full-stack Developer,Senior,Москва,Удалённо,Крупная (1000+),"Git, JavaScript, Node.js, React",172000,229000,RUB
105032,2024-01-23,ML Engineer,Lead,Санкт-Петербург,Офис,Крупная (1000+),"Docker, Git, Kubernetes, PyTorch, Python, TensorFlow",162000,218000,RUB
100705,2024-01-23,Data Scientist,Middle,Екатеринбург,Офис,Малая (50-250),"Docker, Git, Python, SQL, Scikit-learn, Statistics",56000,74000,RUB
104166,2024-01-24,Frontend Developer,Middle,Москва,Офис,Стартап (<50),"CSS, Git, HTML, JavaScript, React",84000,107000,RUB
104097,2024-01-24,Data Scientist,Senior,Москва,Офис,Стартап (<50),"Docker, Git, SQL, Statistics",176000,208000,RUB
100386,2024-01-24,Data Analyst,Senior,Екатеринбург,Удалённо,Стартап (<50),"Excel, Git, Power BI, Python, SQL, Tableau",77000,97000,RUB
101827,2024-01-24,Backend Developer,Middle,Санкт-Петербург,Удалённо,Средняя (250-1000),"Docker, Git, Java, REST API",105000,135000,RUB
101922,2024-01-24,Backend Developer,Senior,Екатеринбург,Гибрид,Крупная (1000+),"Docker, Git, Kubernetes, PostgreSQL, Python, REST API",126000,166000,RUB
104635,2024-01-25,Full-stack Developer,Senior,Санкт-Петербург,Офис,Малая (50-250),"Docker, Git, JavaScript, Node.js, React",128000,156000,RUB
103939,2024-01-25,Frontend Developer,Middle,Новосибирск,Офис,Стартап (<50),"CSS, Git, HTML, JavaScript, React",48000,64000,RUB
105177,2024-01-25,Data Analyst,Junior,Нижний Новгород,Гибрид,Средняя (250-1000),"Excel, Git, Python, SQL",30000,40000,RUB
101907,2024-01-26,Backend Developer,Senior,Екатеринбург,Гибрид,Стартап (<50),"Git, Java, PostgreSQL, Python",83000,96000,RUB
103985,2024-01-26,ML Engineer,Middle,Москва,Удалённо,Средняя (250-1000),"Git, MLflow, PyTorch, Python, TensorFlow",146000,183000,RUB
105133,2024-01-26,Full-stack Developer,Junior,Москва,Офис,Стартап (<50),"Docker, Git, JavaScript, React",44000,53000,RUB
104056,2024-01-26,Frontend Developer,Junior,Санкт-Петербург,Офис,Малая (50-250),"CSS, Git, HTML, JavaScript, TypeScript",38000,49000,RUB
100993,2024-01-26,QA Engineer,Middle,Краснодар,Гибрид,Крупная (1000+),"Git, Manual Testing, SQL, Selenium",42000,50000,RUB
103740,2024-01-26,System Analyst,Middle,Санкт-Петербург,Гибрид,Малая (50-250),"BPMN, Git, Jira, SQL, UML",85000,100000,RUB
103431,2024-01-26,Backend Developer,Middle,Москва,Офис,Стартап (<50),"Docker, Git, Python",72000,88000,RUB
104002,2024-01-27,QA Engineer,Middle,Нижний Новгород,Гибрид,Малая (50-250),"Git, Manual Testing, Postman, Python, Selenium",40000,47000,RUB
101358,2024-01-27,Data Scientist,Senior,Москва,Офис,Стартап (<50),"Python, SQL, Statistics",175000,229000,RUB
102774,2024-01-27,Frontend Developer,Junior,Москва,Гибрид,Малая (50-250),"Git, HTML, JavaScript, React, TypeScript",32000,42000,RUB
101994,2024-01-27,Data Analyst,Senior,Казань,Офис,Малая (50-250),"Git, Python, SQL, Tableau",64000,85000,RUB
104408,2024-01-27,Backend Developer,Junior,Москва,Гибрид,Крупная (1000+),"Docker, Git, Java, Kubernetes, PostgreSQL, SQL",64000,83000,RUB
103975,2024-01-28,System Analyst,Middle,Москва,Удалённо,Малая (50-250),"BPMN, Git, Jira, SQL, UML",95000,114000,RUB
102441,2024-01-28,Product Manager,Middle,Краснодар,Удалённо,Малая (50-250),"Agile, Git, Jira, SQL",61000,74000,RUB
103498,2024-01-28,DevOps Engineer,Middle,Москва,Гибрид,Средняя (250-1000),"AWS, CI/CD, Docker, Git, Kubernetes",81000,99000,RUB
102781,2024-01-28,QA Engineer,Middle,Краснодар,Офис,Малая (50-250),"Git, Manual Testing, Postman, Python, Selenium",38000,45000,RUB
102158,2024-01-28,ML Engineer,Junior,Удалённо (Россия),Офис,Крупная (1000+),"Git, MLflow, Python",56000,67000,RUB
104195,2024-01-28,Mobile Developer,Middle,Казань,Гибрид,Крупная (1000+),"Git, Kotlin, REST API, SQL",46000,60000,RUB
105000,2024-01-28,Backend Developer,Middle,Казань,Гибрид,Стартап (<50),"Docker, Git, Java, Python, REST API, SQL",72000,86000,RUB
105104,2024-01-29,Data Scientist,Junior,Екатеринбург,Офис,Средняя (250-1000),"Git, Pandas, SQL, Scikit-learn, Statistics",41000,53000,RUB
102525,2024-01-29,Data Analyst,Junior,Москва,Офис,Средняя (250-1000),"Excel, Git, Power BI, Python, SQL",51000,65000,RUB
100996,2024-01-29,Data Scientist,Middle,Краснодар,Удалённо,Стартап (<50),"Git, Pandas, PyTorch, Scikit-learn, Statistics",58000,67000,RUB
103822,2024-01-29,Data Scientist,Junior,Москва,Гибрид,Средняя (250-1000),"Git, Python, SQL",56000,65000,RUB
100682,2024-01-29,ML Engineer,Senior,Новосибирск,Гибрид,Средняя (250-1000),"Git, Kubernetes, MLflow, PyTorch, Python, TensorFlow",140000,186000,RUB
104758,2024-01-29,Backend Developer,Lead,Удалённо (Россия),Офис,Малая (50-250),"Docker, Git, Java, REST API",197000,243000,RUB
100060,2024-01-29,QA Engineer,Senior,Нижний Новгород,Офис,Крупная (1000+),"Git, Python, SQL, Selenium",74000,100000,RUB
104045,2024-01-30,Data Analyst,Lead,Казань,Офис,Стартап (<50),"Excel, Git, Power BI, Python, SQL, Tableau",91000,107000,RUB
103281,2024-01-30,Frontend Developer,Middle,Москва,Гибрид,Малая (50-250),"CSS, Git, HTML",90000,110000,RUB
100096,2024-01-30,Data Engineer,Junior,Санкт-Петербург,Офис,Крупная (1000+),"Airflow, Docker, Kafka, SQL, Spark",51000,63000,RUB
104729,2024-01-30,System Analyst,Middle,Удалённо (Россия),Удалённо,Стартап (<50),"BPMN, Git, Jira, SQL, UML",96000,112000,RUB
101441,2024-01-30,DevOps Engineer,Junior,Казань,Офис,Средняя (250-1000),"AWS, CI/CD, Git, Kubernetes, Linux, Terraform",30000,35000,RUB
100170,2024-01-30,QA Engineer,Middle,Удалённо (Россия),Офис,Средняя (250-1000),"Postman, Python, SQL",64000,83000,RUB
104395,2024-01-30,QA Engineer,Junior,Москва,Офис,Малая (50-250),"Git, Manual Testing, Python, Selenium",30000,39000,RUB
